Vértice 6759: Pai = 98, Nível = 86
Vértice 41464: Pai = 6759, Nível = 87
Vértice 6684: Pai = 6759, Nível = 87
Vértice 1763: Pai = 41464, Nível = 88
Vértice 30628: Pai = 1763, Nível = 89
Vértice 49033: Pai = 30628, Nível = 90
Vértice 17782: Pai = 30628, Nível = 90
Vértice 1449: Pai = 17782, Nível = 91
Vértice 12752: Pai = 17782, Nível = 91
Vértice 27290: Pai = 1449, Nível = 92
Vértice 20282: Pai = 12752, Nível = 92
Vértice 38898: Pai = 20282, Nível = 93
Vértice 7672: Pai = 20282, Nível = 93
Vértice 32250: Pai = 38898, Nível = 94
Vértice 35718: Pai = 32250, Nível = 95
Vértice 28630: Pai = 32250, Nível = 95
Vértice 15027: Pai = 35718, Nível = 96
Vértice 14722: Pai = 15027, Nível = 97
Vértice 20152: Pai = 15027, Nível = 97
Vértice 42723: Pai = 14722, Nível = 98
Vértice 12585: Pai = 42723, Nível = 99
Vértice 45426: Pai = 42723, Nível = 99
Vértice 38002: Pai = 12585, Nível = 100
Vértice 15591: Pai = 38002, Nível = 101
Vértice 45597: Pai = 38002, Nível = 101
Vértice 19815: Pai = 45597, Nível = 102
Vértice 20229: Pai = 19815, Nível = 103
Vértice 18296: Pai = 20229, Nível = 104
Vértice 28140: Pai = 20229, Nível = 104
Vértice 32749: Pai = 18296, Nível = 105
Vértice 15826: Pai = 32749, Nível = 106
Vértice 15239: Pai = 32749, Nível = 106
Vértice 3739: Pai = 15239, Nível = 107
Vértice 16960: Pai = 15239, Nível = 107
Vértice 36405: Pai = 3739, Nível = 108
Vértice 46587: Pai = 16960, Nível = 108
Vértice 30601: Pai = 46587, Nível = 109
Vértice 19283: Pai = 46587, Nível = 109
Vértice 30371: Pai = 19283, Nível = 110
Vértice 28383: Pai = 19283, Nível = 110
Vértice 19199: Pai = 30371, Nível = 111
Vértice 29629: Pai = 28383, Nível = 111
Vértice 44480: Pai = 29629, Nível = 112
Vértice 35583: Pai = 29629, Nível = 112
Vértice 48889: Pai = 35583, Nível = 113
Vértice 44840: Pai = 48889, Nível = 114
Vértice 48674: Pai = 48889, Nível = 114
Vértice 11475: Pai = 48674, Nível = 115
Vértice 35944: Pai = 48674, Nível = 115
Vértice 36271: Pai = 35944, Nível = 116
Vértice 42207: Pai = 35944, Nível = 116
Vértice 32294: Pai = 36271, Nível = 117
Vértice 21520: Pai = 42207, Nível = 117
Vértice 23889: Pai = 21520, Nível = 118
Vértice 26092: Pai = 23889, Nível = 119
Vértice 4566: Pai = 23889, Nível = 119
Vértice 25605: Pai = 4566, Nível = 120
Vértice 12259: Pai = 4566, Nível = 120
Vértice 48952: Pai = 25605, Nível = 121
Vértice 15134: Pai = 48952, Nível = 122
Vértice 27605: Pai = 15134, Nível = 123
Vértice 12580: Pai = 15134, Nível = 123
Vértice 36362: Pai = 12580, Nível = 124
Vértice 33405: Pai = 12580, Nível = 124
Vértice 21906: Pai = 33405, Nível = 125
Vértice 4381: Pai = 33405, Nível = 125
Vértice 12543: Pai = 4381, Nível = 126
Vértice 48112: Pai = 12543, Nível = 127
Vértice 17547: Pai = 12543, Nível = 127
Vértice 4376: Pai = 48112, Nível = 128
Vértice 49800: Pai = 4376, Nível = 129
Vértice 12382: Pai = 49800, Nível = 130
Vértice 41847: Pai = 49800, Nível = 130
Vértice 1431: Pai = 41847, Nível = 131
Vértice 14622: Pai = 1431, Nível = 132
Vértice 10933: Pai = 1431, Nível = 132
Vértice 47526: Pai = 10933, Nível = 133
Vértice 46513: Pai = 47526, Nível = 134
Vértice 18028: Pai = 47526, Nível = 134
Vértice 8539: Pai = 46513, Nível = 135
Vértice 35767: Pai = 8539, Nível = 136
Vértice 11702: Pai = 8539, Nível = 136
Vértice 44100: Pai = 35767, Nível = 137
Vértice 2780: Pai = 44100, Nível = 138
Vértice 48800: Pai = 44100, Nível = 138
Vértice 34735: Pai = 48800, Nível = 139
Vértice 41009: Pai = 48800, Nível = 139
Vértice 48074: Pai = 34735, Nível = 140
Vértice 25697: Pai = 48074, Nível = 141
Vértice 14837: Pai = 48074, Nível = 141
Vértice 42899: Pai = 25697, Nível = 142
Vértice 38468: Pai = 14837, Nível = 142
Vértice 45627: Pai = 38468, Nível = 143
Vértice 35962: Pai = 38468, Nível = 143
Vértice 26702: Pai = 35962, Nível = 144
Vértice 19751: Pai = 35962, Nível = 144
Vértice 31965: Pai = 26702, Nível = 145
Vértice 15458: Pai = 31965, Nível = 146
Vértice 10891: Pai = 31965, Nível = 146
Vértice 5719: Pai = 10891, Nível = 147
Vértice 4010: Pai = 10891, Nível = 147
Vértice 5596: Pai = 4010, Nível = 148
Vértice 26618: Pai = 5596, Nível = 149
Vértice 37426: Pai = 5596, Nível = 149
Vértice 46800: Pai = 37426, Nível = 150
Vértice 263: Pai = 46800, Nível = 151
Vértice 18038: Pai = 46800, Nível = 151
Vértice 20786: Pai = 263, Nível = 152
Vértice 7617: Pai = 20786, Nível = 153
Vértice 26345: Pai = 7617, Nível = 154
Vértice 32690: Pai = 7617, Nível = 154
Vértice 49692: Pai = 32690, Nível = 155
Vértice 24161: Pai = 32690, Nível = 155
